№ действия,Роль,Входящие материалы,Исходящие материалы,Наименование шага процесса,Срок,Описание процесса
155,Судья,-,Определение о завершении процедуры распределения имущества ликвидированного ЮЛ,Принять СА,-,Переход к типовому процессу: Принять СА.Определение о завершении процедуры распределения имущества ликвидированного ЮЛ
156,ЛУВД,-,-,Получено уведомление о завершении процедуры распределения имущества ликвидированного ЮЛ,—,ЛУВД получают уведомление о завершении процедуры распределения имущества ликвидированного ЮЛ
157,ЛУВД,-,-,Ознакомиться,—,ЛУВД знакомятся с Определением о продлении срока распределения имущества ликвидированного ЮЛ
158,ЛУВД,-,-,Есть основание для обжалования?Эксклюзивный шлюз,—,"ЛУВД определяют, есть ли основания для обжалованияЭксклюзивный шлюзДа: переход к шагу 159Нет: переход к шагу 160"
159,ЛУВД,-,-,Переход к процессу апелляционного обжалования,—,Переход к процессу апелляционного обжалования
160,ЛУВД,-,-,Ожидать истечения срока обжалования,"",Ожидать истечения срока обжалования
161,Судья,—,—,Обратить СА к исполнению,—,"Переход к типовому процессу ""Обратить СА к исполнению"". Судья обращает судебный акт к исполнению"
162,ЛУВД,-,-,АУ прекращает полномочия. ФНС публикует запись в ЕГРЮЛ о ликвидации ЮЛ. Должник повторно ликвидированЗавершающее событие,-,Завершающее событиеАУ прекращает полномочия. ФНС публикует запись в ЕГРЮЛ о ликвидации ЮЛ. Должник повторно ликвидирован
163, ЛУВД,"","",Возникла необходимость в отмене обеспечительных мер,"", Возникла необходимость в отмене обеспечительных мер
164,ЛУВД ,"","", Переход в процесс рассмотрения обеспечительных мер,"", Переход в процесс рассмотрения обеспечительных мер
165, ЛУВД,"",Основания для исправления опечаток/описок,Возникла необходимость в исправлении описок/опечаток,—,"В случае, если лицо нашло в решении суда опечатку/ошибку, лицо вправе подать соответствующее заявление в суд, вынесший данное решение, с указанием ошибки/опечатки. Такое заявление впоследствии должно быть рассмотрено судом в течение 10-ти дней без проведения СЗ. При этом содержание СА  по существу, остается неизменным. По результатам рассмотрения заявления выносится определение, которое может быть обжаловано (ст. 179 АПК РФ)"
166,ЛУВД,Основания для исправления опечаток/описок,Заявление об исправлении описок/опечаток,Подать документы в суд,—,"Переход к типовому процессу «Подать документы в суд», в рамках которого ЛУВД  формирует заявление об исправлении описок/опечаток и направляет его в судПодача документов в электронном виде через форму подачи документов в судСнижение определение описок/опечаток за счет автоматизации в процессе подготовке СА"
167,Помощник судьи,—,—,Завершение процесса,—,Процесс подачи заявления завершен
168,Судья,Заявление об исправлении описок/опечаток,—,Поступило заявление об исправлении описок/опечаток,—,Судья получает заявление об исправлении описок
169,Судья,—,Определение об исправлении,Рассмотреть вопрос об исправлении ошибок,10 дней с момента поступления заявления,"Переход к типовому процессу ""Рассмотреть вопрос о разъяснении СА"" В результате данного ТП Судья рассматривает вопрос об исправлении описок/опечаток судебного акта без проведения судебного заседания и без извещения лиц, участвующих в деле и иных лиц. При этом содержание СА по существу, остается неизменным. По результатам рассмотрения заявления выносится определение, которое может быть обжаловано (ст. 179 АПК РФ)"
170,Судья,—,—,Завершение рассмотрения заявления,—,Процесс рассмотрения заявления завершен
171,Судья,-,-,Ожидать 6 месяцев с даты вступления в законную силу СА,-,Ожидать 6 месяцев с даты вступления в законную силу СА
172,Судья,Материалы дела,"Материалы дела, подготовленные к сдаче в архив",Передать дело в архив,"","Переход к Типовому процессу ""Передать дело в архив"", результатом ТП является подготовка и передача судьей дела в архив после завершения рассмотрения. Архивировать электронное дело"
173,Судья,—,—,Процедура распределения завершена должник ликвидирован повторноЗавершение процесса,—,Завершение процессаПроцедура распределения завершена должник ликвидирован повторно
